id_region,año,tratamiento,año_tratamiento,empleo,salario_minimo,pib_per_capita,sindicatos,poblacion,proporcion_industria,proporcion_urbana,nivel_educacion,edad_promedio,zona,clima,Industria
Region_0,2000,0,2008,73.20970702183008,7.473168706389892,30726.379643970857,0.09573101054077496,107252.74743785342,0.22673690242600428,0.388898806455318,15.029343544694935,35.12030626395309,Sur,Cálido,Industrial
Region_0,2001,0,2008,69.74359591549555,7.477218542635732,31470.655969373212,0.10737596965695187,123783.60219145622,0.2747824423206207,0.3900115034772914,15.032768076711687,35.0478528876901,Sur,Cálido,Industrial
Region_0,2002,0,2008,70.69563614105817,7.468900370460325,31724.784164172655,0.1013863592419934,153133.337482623,0.25361049867009827,0.3769689253754546,15.072627268993083,35.03523182468425,Sur,Cálido,Industrial
Region_0,2003,0,2008,69.76260819875506,7.483759383208288,32223.77246580269,0.11251124988119506,174926.73352728636,0.26837628448409984,0.4000120164878595,15.175012030964407,34.97302797669728,Sur,Cálido,Industrial
Region_0,2004,0,2008,71.70012928852647,7.475407950387768,32865.39925892752,0.10587697555689601,195455.42786031764,0.21541468769409544,0.3872897154413987,15.038646738124852,34.65179808413081,Sur,Cálido,Industrial
Region_0,2005,0,2008,72.90018828029663,7.478646504315926,33227.86476837521,0.10759488410820003,213683.48520468044,0.24564536558234754,0.392736078166931,14.918630501567279,34.46952081071573,Sur,Cálido,Industrial
Region_0,2006,0,2008,73.8823702169662,7.467736852071697,33556.89338296963,0.09989042003614229,240715.67534829624,0.24680554225928203,0.37553945212170886,14.979756653677947,35.03292369435798,Sur,Cálido,Industrial
Region_0,2007,0,2008,75.16317807883001,7.477164793182592,33612.322522920505,0.10482298726278863,262622.83269762096,0.22263576255324413,0.3914357940075106,15.0215594251974,34.73970881435549,Sur,Cálido,Industrial
Region_0,2008,1,2008,75.29482765317722,9.008683300305618,35316.04882146594,0.12611636201379672,283695.21956754074,0.27021914450955514,0.44169678340295854,15.441781974685204,35.53800775066218,Sur,Cálido,Industrial
Region_0,2009,1,2008,75.06837152339033,9.025020026984285,36998.53901191527,0.1347542081867115,297466.77467099106,0.23560252522432779,0.46918752905654115,15.677991207438795,35.78581759516267,Sur,Cálido,Industrial
